,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
3103,Fri Jun 18 23:13:52 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NOT GOOD #VirusVariantsVaccine #DeltaVariant now has an offspring #DeltaPlusVariant We need to vaccinate the world NOW. Africa on my mind. #VaccinEquity,-0.35,0.6000000000000001,en,1.0,1.0,ak2webd3,3659,5007,,"[{'text': 'VirusVariantsVaccine', 'indices': [9, 30]}, {'text': 'DeltaVariant', 'indices': [31, 44]}, {'text': 'DeltaPlusVariant', 'indices': [66, 83]}, {'text': 'VaccinEquity', 'indices': [139, 152]}]",,"Bay Area, California"
3104,Fri Jun 18 23:14:01 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,0.0,0.0,en,,,theTiser,140163,195,False,,,"Adelaide, South Australia"
3105,Fri Jun 18 23:14:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",0.13333333333333333,0.4555555555555556,en,505.0,255.0,BotondBallo,553,450,,[],,"Toronto, ON"
3106,Fri Jun 18 23:14:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",What we saw unfolding in india has now begun ravaging Uganda. And this will continue until vaccines are equitably available! I am struggling to make sense of the world these days. We learned a lot with India’s 2nd wave - those lessons should be broadly applicable. @IndiaCOVIDSOS,0.1875,0.2375,en,109.0,49.0,thinkalot,3719,4631,,[],,Twitter
3107,Fri Jun 18 23:14:17 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""The COVID-19 vaccine is the best way to protect:
Ourselves 🙋🏿
Our Families 👪
And our communities 🏘️"" - @Gladys_H_, @UNICEFPacific Supporter, joins @GlblCtznAU to share why she got #Vaccinated https://t.co/QyqQOy3mAG",1.0,0.3,en,2.0,1.0,UNICEFPacific,23519,887,,"[{'text': 'Vaccinated', 'indices': [181, 192]}]",,Pacific
3108,Fri Jun 18 23:14:34 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","When you receive a #COVID19 vaccine, it’s important to know when you are fully vaccinated. It’s not instant. COVID-19 vaccines teach our immune systems how to recognize and fight the virus that causes COVID-19. Learn more: https://t.co/TRZRzx3cym. https://t.co/zSgjwvp7WQ",0.3,0.7222222222222222,en,19.0,15.0,MichelleZenner,1466,2916,,"[{'text': 'COVID19', 'indices': [19, 27]}]",,"Washington, USA"
3109,Fri Jun 18 23:14:36 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,892.0,290.0,MarthaVReed,310,1113,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",,"Richardson, TX"
3110,Fri Jun 18 23:14:42 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",,0.0,0.0,en,,,PuneUpdater,88,0,,,[],
3111,Fri Jun 18 23:15:14 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Patent Masks</a>",,0.0,0.0,en,0.0,1.0,PatentMasks,227,1,,,,"London, United Kingdom"
3112,Fri Jun 18 23:15:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Africa is in the midst of a full-blown third wave,"" @MoetiTshidi said. ""The sobering trajectory of surging cases should draw everyone to urgent action. 

“We've seen, in India and elsewhere, how quickly Covid-19 can rebound and overwhelm health systems""
https://t.co/CemRZeIDYr",0.14444444444444446,0.2,en,292.0,268.0,heather151262,2204,3271,,[],,
3113,Fri Jun 18 23:15:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,,,ninjitalia,352,373,False,,[],
3114,Fri Jun 18 23:15:22 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Health workers across the Pacific talked to @GlblCtznAU and @unicefaustralia about why it's so important that #COVID19 vaccines reach everyone. 🌏 Vaccines don't just protect our health, they're also vital for education. https://t.co/6SPi9X3k3R #VaxBecause @UNICEFPacific https://t.co/v2VKJOG2hk",0.25,0.7,en,16.0,7.0,UNICEFPacific,23519,887,,"[{'text': 'COVID19', 'indices': [110, 118]}, {'text': 'VaxBecause', 'indices': [244, 255]}]",,Pacific
3115,Fri Jun 18 23:15:24 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","New York is fully open and Michigan will be fully open by June 22. And Québec is much further along than Ontario.

As our neighbours move on it's time for us to follow. 

@fordnation open Ontario 100% and drop the mask mandate too.",0.027272727272727268,0.4909090909090909,en,256.0,92.0,matt8111,200,607,,[],,"Georgian Bluffs, Ontario"
3116,Fri Jun 18 23:15:39 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","New York is fully open and Michigan will be fully open by June 22. And Québec is much further along than Ontario.

As our neighbours move on it's time for us to follow. 

@fordnation open Ontario 100% and drop the mask mandate too.",0.027272727272727268,0.4909090909090909,en,257.0,93.0,SR35555286,27,80,,[],,"Ontario, Canada"
3117,Fri Jun 18 23:15:47 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,0.0,0.0,en,,,campbel_robert1,84,279,,,"[{'screen_name': 'Jerusalem_Post', 'name': 'The Jerusalem Post', 'id': 19489239, 'id_str': '19489239', 'indices': [64, 79]}, {'screen_name': 'netanyahu', 'name': 'Benjamin Netanyahu', 'id': 17061263, 'id_str': '17061263', 'indices': [108, 118]}]",
3118,Fri Jun 18 23:16:09 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22",0.125,0.325,en,109.0,96.0,Traceva001,1514,4272,,"[{'text': 'COVID19', 'indices': [107, 115]}, {'text': 'Africa', 'indices': [125, 132]}]",,"London, England"
3119,Fri Jun 18 23:16:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,,,ninjitalia,352,373,False,,[],
3120,Fri Jun 18 23:16:52 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",0.13333333333333333,0.4555555555555556,en,505.0,256.0,MariaCVos,594,1196,,[],,"Birmingham, England"
3121,Fri Jun 18 23:16:56 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,0.0,0.0,en,,,CoachJu,743,437,,,, On the hardwood 
3122,Fri Jun 18 23:16:56 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Every day that supplies allow for further vaccines, we see the benefits. We're now down to 44 positive #COVID19 inpatients in hospital, 15 of those in ICU. 21 hospitals with just one case or less. Huge credit to public support &amp; for the take up of vaccines here. @HSELive",0.050841750841750855,0.3946127946127945,en,179.0,16.0,BridgetGoulding,1091,2022,,"[{'text': 'COVID19', 'indices': [103, 111]}]",,"Cork, Ireland"
3123,Fri Jun 18 23:17:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,,,Enterafricaaol2,200,820,,,[],
3124,Fri Jun 18 23:17:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg",0.09375,0.28125,en,175.0,119.0,JanieResists,4004,5001,,"[{'text': 'COVID19', 'indices': [14, 22]}]",,"USA~""True Blue"" In AZ! "
3125,Fri Jun 18 23:17:02 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",,0.0,0.0,en,,,PuneUpdater,88,0,,,[],
3127,Fri Jun 18 23:17:09 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","⚠️🌍💉😷 The #DeltaVariant of the #coronavirus is more contagious and resistant to #vaccines than other forms of #COVID19 
This is what we know about how the variant responds to the jabs
▶️ https://t.co/7wRBY99jN0 by @polriKr for @AFP &amp; @EUDataNewsHub https://t.co/vvBNk7VGRq",0.1875,0.4375,en,18.0,19.0,TomSear,1492,4792,,"[{'text': 'DeltaVariant', 'indices': [10, 23]}, {'text': 'coronavirus', 'indices': [31, 43]}, {'text': 'vaccines', 'indices': [80, 89]}, {'text': 'COVID19', 'indices': [110, 118]}]",,"Canberra, Australia"
3128,Fri Jun 18 23:17:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,,,laurieallee,2918,4876,,,[],Los Angeles
3129,Fri Jun 18 23:17:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,893.0,290.0,karimaDivine,1074,1947,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",,England
3130,Fri Jun 18 23:17:17 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Extremely concerning that YouTube does not allow a respected scientist to express his opinion &amp; fact about mRNA #vaccine #COVID19 

EVEN if he is the INVENTOR of mRNA vaccines 

Your next, whatever opinion you have that @YouTube or @Twitter disagrees with or the Government https://t.co/3DWfOyWJir",-0.0625,0.5,en,9.0,7.0,ia_tfc,76,396,,"[{'text': 'vaccine', 'indices': [116, 124]}, {'text': 'COVID19', 'indices': [125, 133]}]",,
3131,Fri Jun 18 23:17:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@DrTedros ""The global failure to share vaccines equitably is fuelling a two-track #COVID19 pandemic that is now taking its toll on some of the world’s poorest and most vulnerable people""-@DrTedros #ACTogether #VaccinEquity",-0.07916666666666668,0.325,en,69.0,30.0,Traceva001,1514,4273,,"[{'text': 'COVID19', 'indices': [82, 90]}, {'text': 'ACTogether', 'indices': [197, 208]}, {'text': 'VaccinEquity', 'indices': [209, 222]}]",,"London, England"
3132,Fri Jun 18 23:17:29 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,,,PlanNineNorth,26,19,False,,,Canada
3133,Fri Jun 18 23:17:34 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@DrTedros ""In Africa, #COVID19 cases have increased by 52% just in the past week, and deaths have increased by 32%. And we expect things to only get worse""-@DrTedros 

https://t.co/kxBLVxxLcO",-0.21666666666666667,0.6166666666666667,en,53.0,32.0,Traceva001,1514,4273,,"[{'text': 'COVID19', 'indices': [22, 30]}]",,"London, England"
3134,Fri Jun 18 23:17:36 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg",0.09375,0.28125,en,175.0,120.0,MarlaWeezie,7308,7894,,"[{'text': 'COVID19', 'indices': [14, 22]}]",,"Miami, FL"
3135,Fri Jun 18 23:17:37 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@DrTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity",-0.09166666666666666,0.4166666666666666,en,63.0,35.0,Traceva001,1514,4273,,"[{'text': 'COVID19', 'indices': [201, 209]}, {'text': 'VaccinEquity', 'indices': [210, 223]}]",,"London, England"
3136,Fri Jun 18 23:18:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,477.0,306.0,aneesafalasteen,3283,3875,False,,,Planet Earth
3137,Fri Jun 18 23:18:10 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@DrTedros @G7 ""WHO will continue to support countries to apply public health and social measures to keep people safe. And we continue to support countries to ready their systems and plans to rollout vaccines once they get them""-@DrTedros #COVID19",0.18333333333333332,0.2833333333333333,en,43.0,12.0,Traceva001,1514,4273,,"[{'text': 'COVID19', 'indices': [238, 246]}]",,"London, England"
3138,Fri Jun 18 23:18:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@DrTedros @G7 ""But we do not control the global supply of #COVID19 vaccines. The countries and companies that do must play their part to produce more, and share more to achieve WHO’s global targets""-@DrTedros #VaccinEquity 

https://t.co/iEA03yXG0T",0.25,0.25,en,42.0,12.0,Traceva001,1514,4273,,"[{'text': 'COVID19', 'indices': [58, 66]}, {'text': 'VaccinEquity', 'indices': [209, 222]}]",,"London, England"
3139,Fri Jun 18 23:18:23 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@DrTedros @G7 ""We continue to explore every avenue for increasing production of vaccines, esp. in Africa, and we will have more to say about that on Monday. 
And even as we continue to respond to the #COVID19 pandemic, our regular work continues, across the spectrum of health issues""-@DrTedros",0.25,0.28846153846153844,en,32.0,10.0,Traceva001,1514,4273,,"[{'text': 'COVID19', 'indices': [200, 208]}]",,"London, England"
3140,Fri Jun 18 23:18:40 +0000 2021,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,0.0,0.0,en,,,AlArabiya_Eng,887874,45,False,,[],Dubai
3141,Fri Jun 18 23:18:43 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The #COVID19 virus is moving faster than the global distribution of vaccines. To end the pandemic, our shared goal must be to vaccinate at least 70% of the world’s population by the time the @G7 meets again in 🇩🇪 next year. To do that, we need 11 billion doses. #VaccinEquity https://t.co/l6CIzi2ruu",-0.1,0.13333333333333333,en,661.0,327.0,juancarlossaid,28546,2257,,"[{'text': 'COVID19', 'indices': [4, 12]}, {'text': 'VaccinEquity', 'indices': [262, 275]}]",,"Santiago, Chile"
3142,Fri Jun 18 23:18:46 +0000 2021,"<a href=""https://plutonic.co.in"" rel=""nofollow"">Corona Virus Update Bot</a>","#India, the world’s largest manufacturer of vaccines, wants to resume exports of coronavirus doses but can’t do so until its domestic needs are met, the head of the country’s #coronavirus task force says.

#COVID19

https://t.co/0c4ttvYagf",0.1,0.1,en,0.0,1.0,CoronaUpdateBot,1267,2,,"[{'text': 'India', 'indices': [0, 6]}, {'text': 'coronavirus', 'indices': [175, 187]}, {'text': 'COVID19', 'indices': [206, 214]}]",,
3143,Fri Jun 18 23:19:27 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Every day that supplies allow for further vaccines, we see the benefits. We're now down to 44 positive #COVID19 inpatients in hospital, 15 of those in ICU. 21 hospitals with just one case or less. Huge credit to public support &amp; for the take up of vaccines here. @HSELive",0.050841750841750855,0.3946127946127945,en,189.0,17.0,GOConnor2000,761,1882,,"[{'text': 'COVID19', 'indices': [103, 111]}]",,"Waterford, Ireland"
3144,Fri Jun 18 23:19:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",0.16666666666666666,0.18888888888888888,en,600.0,672.0,LifeOfYara,1318,4011,,[],,Sunny AZ
3145,Fri Jun 18 23:20:06 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",".@NicolaSturgeon reports that whereas around 13% of positive #Covid19 cases ended up in hospital at the beginning of the year, it is now down to around 5%. This shows the vaccines are having an effect.",0.03585858585858584,0.4171717171717172,en,58.0,17.0,annemac33,1788,1851,,"[{'text': 'Covid19', 'indices': [61, 69]}]",, Scotland
3146,Fri Jun 18 23:20:58 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#India, the world’s largest manufacturer of vaccines, wants to resume exports of coronavirus doses but can’t do so until its domestic needs are met, the head of the country’s #coronavirus task force says.

#COVID19

https://t.co/0c4ttvYagf",0.1,0.1,en,4.0,2.0,SarahMya2000,169,5003,,"[{'text': 'India', 'indices': [0, 6]}, {'text': 'coronavirus', 'indices': [175, 187]}, {'text': 'COVID19', 'indices': [206, 214]}]",,
3147,Fri Jun 18 23:20:58 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The Palestinian Authority (PA) cancels a deal to receive soon-to-expire #COVID19 vaccines from #Israel after an initial Israeli shipment showed an expiration date sooner than had been agreed, the PA health minister says.

https://t.co/SLikyMpZd7",0.0,0.0,en,8.0,11.0,KevOC1916,1257,1681,,"[{'text': 'COVID19', 'indices': [72, 80]}, {'text': 'Israel', 'indices': [95, 102]}]",,
3148,Fri Jun 18 23:21:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Israel is helping save Palestinian lives.

While the Palestinian Authority has full responsibility for Palestinian healthcare in the West Bank and Gaza under the 1995 Oslo II Accords, Israel is sending more than 1 million vaccine doses to help it fight #COVID19.

#ThisIsIsrael",0.425,0.525,en,78.0,22.0,inkstreamer1,0,3,,"[{'text': 'COVID19', 'indices': [253, 261]}, {'text': 'ThisIsIsrael', 'indices': [264, 277]}]",,
3149,Fri Jun 18 23:21:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","New York is fully open and Michigan will be fully open by June 22. And Québec is much further along than Ontario.

As our neighbours move on it's time for us to follow. 

@fordnation open Ontario 100% and drop the mask mandate too.",0.027272727272727268,0.4909090909090909,en,260.0,94.0,LynnMacEwan,85,336,,[],,"Ottawa, Ontario"
3150,Fri Jun 18 23:22:02 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",,0.0,0.0,en,,,PuneUpdater,88,0,,,[],
3152,Fri Jun 18 23:22:34 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,,,cominghome_m,60,136,,,[],"Michigan, USA"
3153,Fri Jun 18 23:22:44 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Michigan opens 100% indoor/outdoors and drops masks June 22nd. @fordnation looks like a inept coward. Open Ontario 100% now.,0.0,0.5,en,14.0,8.0,ProlongingCovid,1152,494,,[],,On Gab at ChloroquineGuerilla2
3154,Fri Jun 18 23:22:49 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","11) But is it just a SinoVac issue though? Unclear, in a Calgary 🇨🇦 hospital, or the 6 #DeltaVariant infected healthcare workers, 5 were fully vaccinated with 2 doses of mRNA vaccines too. That sparked infection across different units of the hospital. Delta is a problem.",0.0,0.6,en,144.0,73.0,IronSocialist,629,4996,,"[{'text': 'DeltaVariant', 'indices': [87, 100]}]",,"San Fransisco, California"
3155,Fri Jun 18 23:23:12 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,0.0,0.0,en,,,sum1star,6128,5943,,,"[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [20, 27]}]",Hells Canyon 
3156,Fri Jun 18 23:23:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,481.0,307.0,kjm01sh522,1334,2186,False,,,Malaysia
